Country,City,Month,Year,avgTempFahr,avgTempCels
Algeria,Algiers,1,2000,47.23548387096774,8.46415770609319
Algeria,Algiers,1,2001,52.851612903225806,11.584229390681003
Algeria,Algiers,1,2002,51.0,10.555555555555555
Algeria,Algiers,1,2003,46.75806451612903,8.198924731182794
Algeria,Algiers,1,2004,51.880645161290325,11.044802867383513
Algeria,Algiers,1,2005,45.70322580645161,7.612903225806452
Algeria,Algiers,1,2006,48.68709677419355,9.270609318996415
Algeria,Algiers,1,2007,51.4741935483871,10.81899641577061
Algeria,Algiers,1,2008,51.21612903225807,10.67562724014337
Algeria,Algiers,1,2009,52.038709677419355,11.132616487455197
Algeria,Algiers,1,2010,53.05806451612903,11.698924731182794
Algeria,Algiers,1,2011,51.54838709677419,10.86021505376344
Algeria,Algiers,1,2012,49.190322580645166,9.550179211469535
Algeria,Algiers,1,2013,51.748387096774195,10.971326164874553
Algeria,Algiers,1,2014,54.68064516129032,12.600358422939069
Algeria,Algiers,1,2015,50.79354838709677,10.44086021505376
Algeria,Algiers,1,2016,55.08387096774193,12.824372759856628
Algeria,Algiers,1,2017,49.67741935483871,9.820788530465952
Algeria,Algiers,1,2018,47.541935483870965,8.634408602150536
Algeria,Algiers,1,2019,44.92580645161291,7.181003584229393
Algeria,Algiers,1,2020,51.23225806451613,10.684587813620073
Algeria,Algiers,2,2000,52.06551724137931,11.147509578544062
Algeria,Algiers,2,2001,50.96071428571428,10.533730158730158
Algeria,Algiers,2,2002,51.971428571428575,11.095238095238097
Algeria,Algiers,2,2003,50.61071428571428,10.339285714285712
Algeria,Algiers,2,2004,53.57241379310344,11.984674329501912
Algeria,Algiers,2,2005,47.30714285714286,8.503968253968253
Algeria,Algiers,2,2006,50.0,10.0
Algeria,Algiers,2,2007,56.00714285714286,13.337301587301589
Algeria,Algiers,2,2008,54.282758620689656,12.379310344827587
Algeria,Algiers,2,2009,50.28928571428571,10.160714285714285
Algeria,Algiers,2,2010,56.107142857142854,13.392857142857142
Algeria,Algiers,2,2011,51.324999999999996,10.736111111111107
Algeria,Algiers,2,2012,45.43103448275862,7.461685823754788
Algeria,Algiers,2,2013,50.32857142857143,10.182539682539682
Algeria,Algiers,2,2014,49.93571428571429,9.964285714285715
Algeria,Algiers,2,2015,50.96785714285714,10.537698412698411
Algeria,Algiers,2,2016,55.851724137931036,13.250957854406131
Algeria,Algiers,2,2017,56.42142857142857,13.567460317460318
Algeria,Algiers,2,2018,50.42857142857143,10.238095238095239
Algeria,Algiers,2,2019,51.36785714285714,10.759920634920633
Algeria,Algiers,2,2020,55.33793103448276,12.96551724137931
Algeria,Algiers,3,2000,56.39354838709678,13.551971326164878
Algeria,Algiers,3,2001,61.438709677419354,16.35483870967742
Algeria,Algiers,3,2002,56.75483870967742,13.752688172043012
Algeria,Algiers,3,2003,56.3258064516129,13.514336917562721
Algeria,Algiers,3,2004,55.26451612903226,12.9247311827957
Algeria,Algiers,3,2005,54.87419354838709,12.707885304659495
Algeria,Algiers,3,2006,56.71290322580645,13.729390681003585
Algeria,Algiers,3,2007,54.622580645161285,12.568100358422937
Algeria,Algiers,3,2008,55.84838709677419,13.249103942652328
Algeria,Algiers,3,2009,54.26129032258064,12.3673835125448
Algeria,Algiers,3,2010,57.23225806451613,14.017921146953405
Algeria,Algiers,3,2011,57.21612903225807,14.008960573476704
Algeria,Algiers,3,2012,55.26129032258064,12.922939068100355
Algeria,Algiers,3,2013,58.08387096774193,14.491039426523294
Algeria,Algiers,3,2014,55.21612903225807,12.897849462365592
Algeria,Algiers,3,2015,55.52258064516129,13.06810035842294
Algeria,Algiers,3,2016,50.15483870967742,10.086021505376344
Algeria,Algiers,3,2017,57.803225806451614,14.335125448028675
Algeria,Algiers,3,2018,57.29354838709677,14.051971326164871
Algeria,Algiers,3,2019,55.832258064516125,13.240143369175625
Algeria,Algiers,3,2020,59.00322580645161,15.00179211469534
Algeria,Algiers,4,2000,61.21333333333334,16.22962962962963
Algeria,Algiers,4,2001,59.24,15.133333333333335
Algeria,Algiers,4,2002,59.330000000000005,15.183333333333337
Algeria,Algiers,4,2003,59.97666666666667,15.542592592592591
Algeria,Algiers,4,2004,58.81333333333334,14.896296296296299
Algeria,Algiers,4,2005,59.86333333333333,15.47962962962963
Algeria,Algiers,4,2006,63.05333333333333,17.25185185185185
Algeria,Algiers,4,2007,60.166666666666664,15.648148148148145
Algeria,Algiers,4,2008,60.92666666666666,16.07037037037037
Algeria,Algiers,4,2009,52.52333333333333,11.401851851851852
Algeria,Algiers,4,2010,60.96333333333334,16.090740740740742
Algeria,Algiers,4,2011,62.60333333333333,17.00185185185185
Algeria,Algiers,4,2012,59.666666666666664,15.370370370370368
Algeria,Algiers,4,2013,59.05,15.027777777777779
Algeria,Algiers,4,2014,62.72666666666667,17.07037037037037
Algeria,Algiers,4,2015,61.943333333333335,16.635185185185186
Algeria,Algiers,4,2016,60.230000000000004,15.683333333333337
Algeria,Algiers,4,2017,60.75,15.972222222222221
Algeria,Algiers,4,2018,60.86,16.033333333333335
Algeria,Algiers,4,2019,54.34,12.411111111111113
Algeria,Algiers,4,2020,61.99,16.66111111111111
Algeria,Algiers,5,2000,68.1258064516129,20.06989247311828
Algeria,Algiers,5,2001,64.54516129032258,18.080645161290324
Algeria,Algiers,5,2002,66.24193548387096,19.023297491039425
Algeria,Algiers,5,2003,65.16451612903225,18.424731182795696
Algeria,Algiers,5,2004,62.00645161290323,16.670250896057347
Algeria,Algiers,5,2005,66.98387096774194,19.435483870967744
